S-559717;49.7426996231379;13.5945888285355;Rokycany;Česká republika;F-2792;49.0045931;8.5277146;Pfinztal;Německo;1990
S-560014;49.7890475888593;13.7346159395858;Mýto;Česká republika;F-3308;51.4556749;11.010456;Berga;Německo;1965
S-560014;49.7890475888593;13.7346159395858;Mýto;Česká republika;F-3310;49.825494;3.285468;Gauchy;Francie;1992
S-560014;49.7890475888593;13.7346159395858;Mýto;Česká republika;F-3309;49.7141467;11.9058744;Grafenwohr;Německo;2008
S-560162;49.7355199572456;13.7575500909768;Strašice;Česká republika;F-3564;49.2032777;11.8490217;Hohenfels;Německo;2008
S-560162;49.7355199572456;13.7575500909768;Strašice;Česká republika;F-3565;37.034778;27.967368;Ören;Turecko;2008
S-560715;49.7952750471033;12.6336503144596;Tachov;Česká republika;F-2886;49.8096722;12.4377581;Barnau;Německo;1999
S-560715;49.7952750471033;12.6336503144596;Tachov;Česká republika;F-2885;50.8586311;11.7301446;Statroda;Německo;1974
S-560740;49.9072433093644;12.9711053255195;Bezdružice;Česká republika;F-2180;49.930112;11.9993067;Pullenreuth;Německo;2009
S-560740;49.9072433093644;12.9711053255195;Bezdružice;Česká republika;F-2179;49.9803214;12.0645204;Waldershof;Německo;2009
